unnamed:_0,make,make_year,color,body_type,mileage_run,no_of_owners,seating_capacity,fuel_type,transmission,transmission_type,price
236,Honda,2021,white,sedan,12092,1st,5,petrol,6-Speed,Manual,16216
237,Maruti Suzuki,2019,blue,hatchback,27053,1st,5,petrol,5-Speed,Manual,9151
238,Maruti Suzuki,2019,blue,hatchback,27053,1st,5,petrol,5-Speed,Manual,9151
239,Maruti Suzuki,2019,blue,hatchback,27053,1st,5,petrol,5-Speed,Manual,9151
240,Maruti Suzuki,2019,blue,hatchback,27053,1st,5,petrol,5-Speed,Manual,9151
241,Maruti Suzuki,2017,blue,sedan,28833,1st,5,petrol,5-Speed,Automatic,8555
242,Honda,2016,red,hatchback,48606,2nd,5,petrol,5-Speed,Manual,6867
243,Maruti Suzuki,2016,red,hatchback,96236,1st,5,petrol,5-Speed,Manual,6928
244,Maruti Suzuki,2012,silver,sedan,37258,1st,5,petrol,5-Speed,Manual,5096
245,Maruti Suzuki,2014,silver,hatchback,33869,1st,5,petrol,5-Speed,Automatic,4922
246,Maruti Suzuki,2013,silver,muv,91796,1st,7,petrol,5-Speed,Manual,6701
247,Tata,2019,grey,hatchback,45607,1st,5,petrol,5-Speed,Automatic,5942
248,Hyundai,2021,grey,hatchback,1117,1st,5,petrol,5-Speed,Manual,8554
249,Hyundai,2018,blue,hatchback,24745,1st,5,petrol,5-Speed,Automatic,7481
250,Hyundai,2017,red,suv,66868,1st,5,diesel,6-Speed,Manual,15542
251,Hyundai,2017,red,suv,66868,1st,5,diesel,6-Speed,Manual,15542
252,Hyundai,2017,red,suv,66868,1st,5,diesel,6-Speed,Manual,15542
253,Hyundai,2017,red,suv,66868,1st,5,diesel,6-Speed,Manual,15542
254,Honda,2017,red,suv,75639,1st,5,petrol,5-Speed,Manual,9012
255,Chevrolet,2013,blue,hatchback,77022,1st,5,diesel,5-Speed,Manual,2895
256,Renault,2018,bronze,hatchback,56387,1st,5,petrol,5-Speed,Manual,4433
257,Hyundai,2019,red,suv,23724,1st,5,petrol,7-Speed,Manual,13698
258,Maruti Suzuki,2022,grey,hatchback,6900,1st,5,petrol,5-Speed,Manual,7579
259,Maruti Suzuki,2017,grey,hatchback,43785,1st,5,petrol,5-Speed,Automatic,5898
260,Honda,2019,white,sedan,29780,1st,5,diesel,5-Speed,Manual,11831
261,Maruti Suzuki,2015,blue,hatchback,56207,1st,5,petrol,5-Speed,Manual,6625
262,Maruti Suzuki,2016,yellow,suv,40003,1st,5,diesel,5-Speed,Automatic,10203
263,Hyundai,2014,silver,hatchback,94315,1st,5,petrol,5-Speed,Manual,6433
264,Maruti Suzuki,2018,grey,hatchback,29492,1st,5,petrol,5-Speed,Automatic,6332
265,Maruti Suzuki,2017,grey,sedan,21365,1st,5,petrol,5-Speed,Manual,8967
266,Ford,2019,red,hatchback,31262,1st,5,diesel,5-Speed,Manual,8204
267,Ford,2019,red,hatchback,31262,1st,5,diesel,5-Speed,Manual,8204
